Date,Name,Year,Letterboxd URI
2020-07-04,The Rental,2020,https://letterboxd.com/film/the-rental/
2020-07-06,Portrait of a Lady on Fire,2019,https://letterboxd.com/film/portrait-of-a-lady-on-fire/
2020-07-06,Apocalypse Now,1979,https://letterboxd.com/film/apocalypse-now/
2020-07-06,Come and See,1985,https://letterboxd.com/film/come-and-see/
2020-07-06,Melancholia,2011,https://letterboxd.com/film/melancholia/
2020-07-06,And Then We Danced,2019,https://letterboxd.com/film/and-then-we-danced/
2020-07-06,Lost Highway,1997,https://letterboxd.com/film/lost-highway/
2020-07-06,There Will Be Blood,2007,https://letterboxd.com/film/there-will-be-blood/
2020-07-06,Fargo,1996,https://letterboxd.com/film/fargo/
2020-07-06,Seven Samurai,1954,https://letterboxd.com/film/seven-samurai/
2020-07-06,The Godfather,1972,https://letterboxd.com/film/the-godfather/
2020-07-06,Saving Private Ryan,1998,https://letterboxd.com/film/saving-private-ryan/
2020-07-06,Locke,2013,https://letterboxd.com/film/locke/
2020-07-06,Obvious Child,2014,https://letterboxd.com/film/obvious-child/
2020-07-06,Million Dollar Baby,2004,https://letterboxd.com/film/million-dollar-baby/
2020-07-06,Schindler's List,1993,https://letterboxd.com/film/schindlers-list/
2020-07-06,American History X,1998,https://letterboxd.com/film/american-history-x/
2020-07-06,Donnie Darko,2001,https://letterboxd.com/film/donnie-darko/
2020-07-06,Only God Forgives,2013,https://letterboxd.com/film/only-god-forgives/
2020-07-06,Me Before You,2016,https://letterboxd.com/film/me-before-you/
2020-07-22,Marie Antoinette,2006,https://letterboxd.com/film/marie-antoinette-2006/
2020-07-23,Red Penguins,2019,https://letterboxd.com/film/red-penguins/
2020-07-27,The Others,2001,https://letterboxd.com/film/the-others/
2020-07-27,Chappie,2015,https://letterboxd.com/film/chappie/
2020-07-28,Promising Young Woman,2020,https://letterboxd.com/film/promising-young-woman/
2020-07-30,The Wrestler,2008,https://letterboxd.com/film/the-wrestler/
2020-07-30,Possession,1981,https://letterboxd.com/film/possession/
2020-07-31,Annihilation,2018,https://letterboxd.com/film/annihilation/
2020-08-06,Bowling for Columbine,2002,https://letterboxd.com/film/bowling-for-columbine/
